#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 69301; 0.0019290429; 3.3214967; -1; ; ; 0
000440245691; 79301; -4.3138154E-4; 3.3214967; -1; ; ; 0
000440245691; 89301; 0.0099797435; 3.3214967; -1; ; ; 0
000440245691; 99301; 0.16443466; 3.32365; -1; ; ; 0
000440245691; 109301; 0.1543334; 3.32365; -1; ; ; 0
000440245691; 119301; 0.012557693; 3.32365; -1; ; ; 0
000440245691; 129301; 0.16825888; 3.3241882; -1; ; ; 0
000440245691; 139301; 0.15601297; 3.3241882; -1; ; ; 0
000440245691; 149301; 0.008157761; 3.3228426; -1; ; ; 0
000440245691; 159301; 0.15979213; 3.3228426; -1; ; ; 0
000440245691; 169301; 0.15223822; 3.3228426; -1; ; ; 0
000440245691; 179301; 0.007230806; 3.3260727; -1; ; ; 0
000440245691; 189301; 0.1627599; 3.3260727; -1; ; ; 0
000440245691; 199301; 0.15682608; 3.3247266; -1; ; ; 0
000440245691; 209301; 0.013372122; 3.3247266; -1; ; ; 0
000440245691; 219301; 0.16724095; 3.3247266; -1; ; ; 0
000440245691; 229301; 0.15477718; 3.327149; -1; ; ; 0
000440245691; 239301; 0.009567954; 3.327149; -1; ; ; 0
000440245691; 249301; 0.1655476; 3.3241882; -1; ; ; 0
000440245691; 259301; 0.15604848; 3.3241882; -1; ; ; 0
000440245691; 269301; 0.009955212; 3.3241882; -1; ; ; 0
000440245691; 279301; 0.16551551; 3.3241882; -1; ; ; 0
000440245691; 289301; 0.15566556; 3.3241882; -1; ; ; 0
000440245691; 299301; 0.012442516; 3.3241882; -1; ; ; 0
000440245691; 309301; 0.16623804; 3.3241882; -1; ; ; 0
000440245691; 319301; 0.15352389; 3.3241882; -1; ; ; 0
000440245691; 329301; 0.0120251905; 3.3239193; -1; ; ; 0
000440245691; 339301; 0.16696255; 3.3239193; -1; ; ; 0
000440245691; 349301; 0.1546611; 3.3239193; -1; ; ; 0
000440245691; 359301; 0.0117467735; 3.3206892; -1; ; ; 0
000440245691; 369301; 0.16610792; 3.3206892; -1; ; ; 0
000440245691; 379301; 0.15488814; 3.3241882; -1; ; ; 0
000440245691; 389301; 0.012391771; 3.3241882; -1; ; ; 0
000440245691; 399301; 0.16545221; 3.3241882; -1; ; ; 0
000440245691; 409301; 0.15333271; 3.3220348; -1; ; ; 0
000440245691; 419301; 0.011698317; 3.3220348; -1; ; ; 0
000440245691; 429300; 0.16213803; 3.3247266; -1; ; ; 0
000440245691; 439300; 0.15054902; 3.3247266; -1; ; ; 0
000440245691; 449300; 0.008232247; 3.3247266; -1; ; ; 0
000440245691; 459301; 0.16538836; 3.3239193; -1; ; ; 0
000440245691; 469301; 0.15742354; 3.3239193; -1; ; ; 0
000440245691; 479301; 0.007250532; 3.3214967; -1; ; ; 0
000440245691; 489301; 0.16480635; 3.3214967; -1; ; ; 0
000440245691; 499301; 0.15785182; 3.3214967; -1; ; ; 0
