#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 0; -0.0010961713; 3.3249958; -1; ; ; 0
000440245691; 10000; 3.0457613E-4; 3.3249958; -1; ; ; 0
000440245691; 20000; 9.7579305E-4; 3.3249958; -1; ; ; 0
000440245691; 30000; 0.0015200551; 3.3231118; -1; ; ; 0
000440245691; 40000; 7.986509E-4; 3.3231118; -1; ; ; 0
000440245691; 50000; 8.3995523E-4; 3.3231118; -1; ; ; 0
000440245691; 60000; 0.00116431; 3.3249958; -1; ; ; 0
000440245691; 70000; 0.0010742538; 3.3249958; -1; ; ; 0
000440245691; 80000; 0.0013847196; 3.3249958; -1; ; ; 0
000440245691; 90000; 6.959371E-4; 3.3249958; -1; ; ; 0
000440245691; 100000; 6.129635E-4; 3.3249958; -1; ; ; 0
000440245691; 110000; 9.172615E-4; 3.325265; -1; ; ; 0
000440245691; 120000; 9.926046E-4; 3.325265; -1; ; ; 0
000440245691; 130000; 8.5279177E-4; 3.3228426; -1; ; ; 0
000440245691; 140000; 6.394641E-4; 3.3228426; -1; ; ; 0
000440245691; 150000; 0.0012558269; 3.3228426; -1; ; ; 0
000440245691; 160000; 0.001419307; 3.3276877; -1; ; ; 0
000440245691; 170000; 0.0012336668; 3.3276877; -1; ; ; 0
000440245691; 180000; 0.0011812149; 3.3209586; -1; ; ; 0
000440245691; 190000; 0.0015060729; 3.3209586; -1; ; ; 0
000440245691; 200000; 0.00133021; 3.3209586; -1; ; ; 0
000440245691; 210000; 9.420254E-4; 3.32365; -1; ; ; 0
000440245691; 220000; 0.0012822357; 3.32365; -1; ; ; 0
000440245691; 230000; 0.0010467471; 3.32365; -1; ; ; 0
000440245691; 240000; 0.0016308521; 3.3247266; -1; ; ; 0
000440245691; 250000; 0.0019602338; 3.3247266; -1; ; ; 0
000440245691; 260000; 0.0011159685; 3.3239193; -1; ; ; 0
000440245691; 270000; 8.914916E-4; 3.3239193; -1; ; ; 0
000440245691; 280000; 0.0010563881; 3.3239193; -1; ; ; 0
000440245691; 290000; 0.0010841221; 3.3223042; -1; ; ; 0
000440245691; 300000; 0.0010965045; 3.3223042; -1; ; ; 0
000440245691; 310000; 0.0013756263; 3.3258033; -1; ; ; 0
000440245691; 320000; 0.0014878869; 3.3258033; -1; ; ; 0
000440245691; 330000; 0.0014811244; 3.3258033; -1; ; ; 0
000440245691; 340000; 0.0016825742; 3.32365; -1; ; ; 0
000440245691; 350000; 9.859337E-4; 3.32365; -1; ; ; 0
000440245691; 360000; 7.980551E-4; 3.3244576; -1; ; ; 0
000440245691; 370000; 0.001453117; 3.3244576; -1; ; ; 0
000440245691; 380000; 9.865733E-4; 3.3244576; -1; ; ; 0
000440245691; 390000; 0.0017294995; 3.3247266; -1; ; ; 0
000440245691; 400000; 0.0018734692; 3.3247266; -1; ; ; 0
000440245691; 410000; 0.0019190683; 3.3255339; -1; ; ; 0
000440245691; 420000; 0.0020938793; 3.3255339; -1; ; ; 0
000440245691; 430000; 0.001220417; 3.3255339; -1; ; ; 0
000440245691; 440000; 0.0011570439; 3.3247266; -1; ; ; 0
000440245691; 450000; 9.4312214E-4; 3.3247266; -1; ; ; 0
000440245691; 460000; 0.0011765088; 3.3247266; -1; ; ; 0
000440245691; 470000; 0.0010025204; 3.3244576; -1; ; ; 0
000440245691; 480000; 9.2333904E-4; 3.3244576; -1; ; ; 0
000440245691; 490000; 0.0018390188; 3.3258033; -1; ; ; 0
000440245691; 500000; 0.0021763954; 3.3258033; -1; ; ; 0
000440245691; 510000; 0.0015922913; 3.3258033; -1; ; ; 0
000440245691; 520001; 8.8829565E-4; 3.3231118; -1; ; ; 0
000440245691; 530001; 0.0011660929; 3.3231118; -1; ; ; 0
000440245691; 540001; 0.0012762523; 3.3214967; -1; ; ; 0
000440245691; 550001; 0.0015812815; 3.3214967; -1; ; ; 0
000440245691; 560001; 0.0018111488; 3.3214967; -1; ; ; 0
000440245691; 570000; 0.0017730427; 3.3255339; -1; ; ; 0
000440245691; 580000; 0.0014062409; 3.3255339; -1; ; ; 0
000440245691; 590000; 7.77176E-4; 3.3239193; -1; ; ; 0
000440245691; 600000; 0.0012465067; 3.3239193; -1; ; ; 0
000440245691; 610000; 0.0013133979; 3.3239193; -1; ; ; 0
000440245691; 620000; 0.001154121; 3.3217657; -1; ; ; 0
000440245691; 630000; 7.447815E-4; 3.3217657; -1; ; ; 0
000440245691; 640000; 3.6705952E-4; 3.3266108; -1; ; ; 0
000440245691; 650000; 0.0011144165; 3.3266108; -1; ; ; 0
000440245691; 660000; 0.0012223829; 3.3266108; -1; ; ; 0
000440245691; 670000; 0.0012842014; 3.3233807; -1; ; ; 0
000440245691; 680000; 0.04758765; 3.3233807; -1; ; ; 0
000440245691; 690000; 0.046329346; 3.3233807; -1; ; ; 0
000440245691; 700000; -1.499032E-4; 3.3244576; -1; ; ; 0
000440245691; 710000; 5.283239E-4; 3.3244576; -1; ; ; 0
